job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
战略专家,美团,上市公司,,北京-朝阳区,,10-14,"['北京-朝阳区', '5-7年经验', '招1人']"
45352-研发项目管理组长,深圳市腾讯计算机系统有限公司,民营公司,,深圳,,10-14,"['深圳', '3-4年经验', '本科', '招1人']"
策略专员-账号,腾讯科技（北京）有限公司,民营公司,1-2万/月,北京-海淀区,六险一金 餐饮补贴 交通补贴 专业培训 年终奖金 班次津贴,10-14,"['北京-海淀区', '1年经验', '本科', '招8人']"
销售助理,新浪上海,合资,6-8千/月,上海-静安区,五险一金 补充公积金 节日福利 定期体检,10-14,"['上海-静安区', '无需经验', '本科', '招若干人']"
城市经理,美团,上市公司,3-4.5万/月,天津,,10-14,"['天津', '5-7年经验', '大专', '招1人']"
国企高薪诚聘电子商务,太平洋保险在线服务科技有限公司山东分公司,国企,4-8千/月,淄博,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 企业年金 商业保险 周末双休 职工餐厅 带薪培训,10-14,"['淄博', '无需经验', '大专', '招20人']"
市场营销经理,网易,上市公司,2-3.5万/月,上海-浦东新区,五险一金 包吃 包三餐 带薪年假 交通补贴 定期体检 商业保险 年终奖金,10-14,"['上海-浦东新区', '5-7年经验', '本科', '招1人']"
天猫文教-商家运营专家-杭州,阿里巴巴集团,上市公司,,杭州,,10-14,"['杭州', '5-7年经验', '本科', '招若干人']"
T服务支持工程师_CI,博世（中国）投资有限公司,外资（欧美）,1.5-2万/月,上海,五险一金 年终奖金,10-14,"['上海', '3-4年经验', '本科', '招1人']"
客服专员,北京昆仑万维科技股份有限公司,上市公司,3-4千/月,天津-西青区,五险一金 绩效奖金 弹性工作 定期体检,10-14,"['天津-西青区', '1年经验', '大专', '招4人']"
风控运营主管,字节跳动,民营公司,2-4万/月,合肥,下午茶 六险一金 团队氛围好 带薪休假 扁平管理 用户过亿 餐补 薪资优厚 租房补贴,10-14,"['合肥', '5-7年经验', '本科', '招5人']"
经营分析岗,JD京东商城（武汉分公司）,外资（欧美）,0.8-1.2万/月,武汉-蔡甸区,五险一金 年终奖金 绩效奖金 定期体检 补充医疗保险,10-14,"['武汉-蔡甸区', '3-4年经验', '大专', '招1人']"
前台销售人员,中国联合网络通信有限公司珠海市分公司,国企,7-14万/年,珠海-香洲区,五险一金 年终奖金 商业意外险 重疾险,10-14,"['珠海-香洲区', '1年经验', '中专', '招10人']"
商业拓展岗,京东商城华中分公司,外资（欧美）,0.6-1万/月,长沙-岳麓区,五险一金 绩效奖金 餐饮补贴 节日福利 年终奖金,10-14,"['长沙-岳麓区', '3-4年经验', '大专', '招3人']"
高级产品经理（结算平台）,阅文集团,上市公司,2-4万/月,上海-浦东新区,五险一金 补充医疗保险 补充公积金 弹性工作 年终奖金 绩效奖金 定期体检 员工旅游,10-14,"['上海-浦东新区', '3-4年经验', '本科', '招1人']"
储备客服主管,良品铺子股份有限公司,上市公司,4.5-6千/月,武汉-东西湖区,五险一金 节日福利 带薪年假 14薪 年终奖金 定期体检,10-14,"['武汉-东西湖区', '1年经验', '大专', '招1人']"
营销岗（上海）,达达-京东到家,上市公司,0.8-1.5万/月,上海-浦东新区,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 绩效奖金,10-14,"['上海-浦东新区', '2年经验', '大专', '招1人']"
RPO项目客服,“前程无忧”51job.com（上海）,外资（非欧美）,5-9千/月,上海-浦东新区,五险一金 补充医疗保险 定期体检 带薪年假 十三薪 平台稳定 做五休二 免费班车,10-14,"['上海-浦东新区', '无需经验', '大专', '招3人']"
售前-北京(006969),奇安信集团,民营公司,2-2.5万/月,北京-西城区,五险一金 补充医疗保险 餐饮补贴 定期体检 15薪,10-14,"['北京-西城区', '3-4年经验', '大专', '招1人']"
盒马-标品主管（南京奥体中心店）,上海盒马网络科技有限公司,合资,6-8千/月,南京-建邺区,弹性工作 带薪年假 绩效奖金 餐饮补贴 五险一金,10-14,"['南京-建邺区', '大专', '招1人']"
高级客服,北京达佳互联信息技术有限公司,上市公司,6-8千/月,成都-高新区,做五休二 带薪年假 五险一金 交通补贴 住房补贴 加班补贴 餐饮补贴 绩效奖金 节日福利 专业培训,10-14,"['成都-高新区', '1年经验', '大专', '招若干人']"
渠道管理（景区电动车）,同程数科,民营公司,0.7-1万/月,上海-浦东新区,,10-14,"['上海-浦东新区', '1年经验', '大专', '招若干人']"
唯品会MK店员,唯品会（中国）有限公司,上市公司,0.8-1万/月,合肥-蜀山区,五险一金 节日福利 专业培训,10-14,"['合肥-蜀山区', '1年经验', '招1人']"
项目部总经理,盘古集团有限公司,外资（非欧美）,1.5-2.5万/月,济南-章丘区,带薪年假 五险一金 节日福利 绩效奖金 定期体检 交通补贴 股票期权,10-14,"['济南-章丘区', '8-9年经验', '本科', '招1人']"
日语游戏专员实习生,爱奇艺（www.iqiyi.com）,合资,3-4千/月,成都-高新区,免费茶饮 餐饮补贴 交通补贴 加班补贴 季度奖金 内购福利 节日福利 五险一金,10-14,"['成都-高新区', '无需经验', '招若干人']"
项目总监(J11966),易车公司,外资（欧美）,1.5-2万/月,广州,带薪年假 五险一金 交通补贴 专业培训 绩效奖金 周末双休 驾照补贴 购车补贴 旅游基金 做五休二,10-14,"['广州', '3-4年经验', '大专', '招1人']"
大客户销售,北京搜房科技发展有限公司石家庄分公司,上市公司,0.6-1万/月,石家庄,,10-14,"['石家庄', '无需经验', '本科', '招3人']"
直招客服专员（纯售后）,瑞庭网络技术（上海）有限公司,上市公司,0.6-1万/月,上海-浦东新区,带薪培训 团队旅行 节假日福利 五险一金 节日福利 专业培训 高温补贴 绩效奖金,10-14,"['上海-浦东新区', '1年经验', '大专', '招15人']"
渠道销售经理,深圳金蝶互联网金融服务有限公司,外资（欧美）,1-1.5万/月,成都,,10-14,"['成都', '3-4年经验', '本科', '招若干人']"
拼多多/阿里巴巴运营,广州粤基餐具用品有限公司,民营公司,5-8千/月,广州-番禺区,绩效奖金 年终奖金 餐饮补贴 弹性工作,10-14,"['广州-番禺区', '1年经验', '中专', '招若干人']"
杭州7-9K普工简单+有住宿,叮咚买菜,民营公司,6-8千/月,杭州-滨江区,免费工装 晋升空间大 带薪年假 弹性工作 绩效奖金 专业培训 节日福利,10-14,"['杭州-滨江区', '无需经验', '招10人']"
销售经理+周末双休（6000-8000）,南京搜才信息技术有限公司,民营公司,6-8千/月,南京-溧水区,,10-14,"['南京-溧水区', '无需经验', '大专', '招若干人']"
包住+销售+底薪6000,贝壳找房（南京）科技有限公司,上市公司,0.8-1万/月,南京-建邺区,弹性工作 带薪年假 全勤奖 节日福利 专业培训 住房补贴 高温补贴 通讯补贴,10-14,"['南京-建邺区', '无需经验', '大专', '招8人']"
高薪过万网电管家13000,水滴保险经纪有限公司,上市公司,1-1.5万/月,武汉-洪山区,做五休二 做一休一 周末双休 弹性工作 带薪年假 五险一金 专业培训 节日福利,10-14,"['武汉-洪山区', '1年经验', '招30人']"
私域运营总监,广州若羽臣科技股份有限公司,上市公司,3-4万/月,广州,五险一金 员工旅游 弹性工作 绩效奖金 餐饮补贴 定期体检,10-14,"['广州', '5-7年经验', '本科', '招若干人']"
商品专员,上海百秋电子商务有限公司,民营公司,1-1.5万/月,上海-长宁区,,10-14,"['上海-长宁区', '2年经验', '大专', '招3人']"
7K电话回访销售（住宿+五险一金+多资源）,绿瘦健康产业集团股份有限公司,民营公司,0.8-1万/月,广州-荔湾区,带薪年假 五险一金 包住宿 全勤奖 节日福利 免费班车 餐饮补贴 专业培训,10-14,"['广州-荔湾区', '无需经验', '高中', '招10人']"
销售专员 无责底薪六千起,贝壳找房·厦门站,上市公司,0.8-1万/月,厦门-思明区,,10-14,"['厦门-思明区', '无需经验', '大专', '招5人']"
电商运营组长（天猫/拼多多）,宝易科技（深圳）集团有限公司,民营公司,1-1.5万/月,深圳-龙华区,弹性工作 专业培训 绩效奖金 加班补贴 五险一金 员工旅游 带薪年假 节日福利,10-14,"['深圳-龙华区', '3-4年经验', '大专', '招若干人']"
批发平台用户招商,大健云仓科技（苏州）有限公司,外资（欧美）,2.3-4.5万/月,广州-天河区,,10-14,"['广州-天河区', '3-4年经验', '大专', '招5人']"
电商美工,东莞市悦和电子商务有限公司,民营公司,5.5-9千/月,东莞-茶山镇,年底双薪 包吃包住 带薪年假 员工旅游 购买社保 专业培训 绩效奖金,10-14,"['东莞-茶山镇', '1年经验', '大专', '招3人']"
淘宝在线客服提供食宿缴纳五险,上海恒印影像科技有限公司,民营公司,4-8千/月,武汉-东西湖区,全勤奖 五险一金 绩效奖金 节日福利 弹性工作,10-14,"['武汉-东西湖区', '1年经验', '初中及以下', '招5人']"
高薪拼多多运营,武汉雅琴润泽商贸有限公司,创业公司,0.8-1万/月,武汉-汉阳区,,10-14,"['武汉-汉阳区', '1年经验', '大专', '招1人']"
亚马逊运营,广州迈野网络科技有限公司,民营公司,4-8千/月,广州-白云区,弹性工作 带薪年假 绩效奖金 全勤奖 节日福利 专业培训 餐饮补贴 住房补贴 员工旅游 社保,10-14,"['广州-白云区', '1年经验', '大专', '招1人']"
亚马逊运营专员（精品美国站）,深圳市源创锦科技有限公司,民营公司,0.8-1.3万/月,深圳-龙岗区,员工旅游 绩效奖金 年终奖金 团队聚餐 节日福利 专业培训 带薪年假,10-14,"['深圳-龙岗区', '1年经验', '大专', '招3人']"
淘宝美工-包吃住,广州可可里电子商务有限公司,民营公司,3-5千/月,广州-白云区,包三餐 包住宿 住房补贴 社保 生日会,10-14,"['广州-白云区', '1年经验', '招若干人']"
29年上市公司慧聪网诚聘销售代表,济南润正信息科技有限公司,民营公司,0.8-1万/月,济南,周末双休 带薪年假 五险一金 全勤奖 节日福利 弹性工作 绩效奖金 专业培训,10-14,"['济南', '1年经验', '大专', '招6人']"
视频美工,上海次方信息技术有限公司,民营公司,4-7千/月,常州-新北区,五险一金 年终奖金 周末双休 带薪年假 节日福利 免费班车,10-14,"['常州-新北区', '2年经验', '大专', '招1人']"
跨境电商运营,广州佳定信息科技有限公司,民营公司,0.5-1万/月,广州-天河区,年终双薪 五险社保 全勤奖 专业培训 大小周,10-14,"['广州-天河区', '无需经验', '大专', '招8人']"
eBay销售,深圳乐能电子有限公司,合资,0.7-1.1万/月,深圳-龙华区,员工旅游 出国机会 绩效奖金 年终奖金 定期体检 弹性工作 餐饮补贴 专业培训 补充医疗保险,10-14,"['深圳-龙华区', '1年经验', '大专', '招2人']"
乐天运营（双休）,广州原木电子商务有限公司,民营公司,0.8-1万/月,广州-白云区,五险 全勤奖 绩效奖金 周末双休,10-14,"['广州-白云区', '1年经验', '大专', '招1人']"
电商客服/高提成/带培训,佛山乐华鸿远电子商务有限公司,民营公司,0.5-1万/月,佛山-高明区,带薪年假 包吃包住 豪华办公环境 国内外旅游 年轻有活力 无办公室政治 委外带薪培训 巨额年终奖 不定期福利 全员购买社保,10-14,"['佛山-高明区', '1年经验', '中专', '招10人']"
阿里巴巴国际站运营（包吃2餐）,广州松敏贸易有限公司,创业公司,0.8-1.6万/月,广州-番禺区,全勤奖 带薪年假 绩效奖金 做六休一 年终奖金,10-14,"['广州-番禺区', '1年经验', '大专', '招若干人']"
淘特运营/天猫店长/资深运营,杭州东曼网络科技有限公司,民营公司,0.8-1.2万/月,杭州-江干区,,10-14,"['杭州-江干区', '2年经验', '大专', '招1人']"
网络客服销售,许昌湛青网络科技有限公司,民营公司,0.5-1万/月,许昌,周末双休 五险一金 绩效奖金 全勤奖 节日福利 专业培训 交通补贴 餐饮补贴 带薪年假,10-14,"['许昌', '无需经验', '招5人']"
Ebay 运营专员,深圳泰利联合贸易国际有限公司,外资（非欧美）,0.8-1.5万/月,深圳-龙岗区,包吃 五险一金 全勤奖 带薪年假 节日福利 绩效奖金,10-14,"['深圳-龙岗区', '1年经验', '大专', '招3人']"
前程无忧销售精英（双休）,“前程无忧”51job.com（武汉）,外资（非欧美）,8-10万/年,武汉-江夏区,周末双休 带薪年假 五险一金 绩效奖金 专业培训 补充医疗保险 定期体检 年终奖金,10-14,"['武汉-江夏区', '无需经验', '大专', '招10人']"
轻松月入10K销售代表,富通天下（浙江）运营中心,民营公司,1-1.5万/月,宁波-高新区,做五休二 五险一金 周末双休 绩效奖金 节日福利 专业培训 带薪年假,10-14,"['宁波-高新区', '无需经验', '大专', '招5人']"
跨境电商运营（大小周、13薪）,深圳市帕威诺科技有限公司,民营公司,4-8千/月,深圳-龙岗区,弹性工作 全勤奖 节日福利 专业培训 绩效奖金 带薪假期 年终奖金 购买社保 大小周制,10-14,"['深圳-龙岗区', '无需经验', '大专', '招2人']"
淘宝天猫美工,佛山市凡人包装有限公司,民营公司,4-8千/月,佛山-南海区,包住宿 餐饮补贴 绩效奖金 专业培训 节日福利 带薪年假 住房补贴 全勤奖,10-14,"['佛山-南海区', '1年经验', '大专', '招若干人']"
高级产品经理/总监（开放平台）,华世界控股集团,民营公司,3.5-5.5万/月,深圳-龙岗区,五险一金 定期团建 偏平管理 年终奖金,10-14,"['深圳-龙岗区', '10年以上经验', '本科', '招1人']"
挪瓦咖啡（BD）,广西浩阳网络科技有限公司,创业公司,0.8-1万/月,南通-崇川区,,10-14,"['南通-崇川区', '1年经验', '大专', '招6人']"
销售工程师,北京安州科技有限公司,民营公司,0.8-1万/月,北京-海淀区,年终奖金 餐饮补贴 交通补贴 通讯补贴 五险一金 绩效奖金 专业培训,10-14,"['北京-海淀区', '无需经验', '招10人']"
内容运营,江上（上海）软件科技有限公司,民营公司,6-9千/月,上海-徐汇区,全勤奖,10-14,"['上海-徐汇区', '1年经验', '大专', '招2人']"
电商客服（宠物用品）晚班可在家办公,广州市宠小到大宠物用品有限公司,民营公司,4.5-6千/月,广州-越秀区,五险 全勤奖 带薪年假 团队聚餐 员工旅游 法定节日,10-14,"['广州-越秀区', '1年经验', '中专', '招1人']"
淘宝客服 网店客服 天猫客服,广州法爱尚品贸易有限公司,民营公司,4-7千/月,广州-白云区,餐饮补贴 绩效奖金 节日福利 全勤奖 下午茶,10-14,"['广州-白云区', '无需经验', '中专', '招若干人']"
修图师,广东花芽时尚产业有限公司,民营公司,6-9千/月,广州-天河区,餐饮补贴 年终奖金 定期体检 绩效奖金 员工旅游 全勤奖 专业培训 节日福利 五险一金 交通补贴,10-14,"['广州-天河区', '2年经验', '大专', '招1人']"
区域总经理,上海卓越睿新数码科技股份有限公司,民营公司,3-4万/月,上海-徐汇区,五险一金 补充医疗保险 交通补贴 专业培训 绩效奖金 年终奖金 定期体检,10-14,"['上海-徐汇区', '8-9年经验', '本科', '招1人']"
天猫推广经理（美妆）,澳妆（上海）国际贸易有限公司,外资（非欧美）,1.5-2万/月,上海-长宁区,,10-14,"['上海-长宁区', '3-4年经验', '大专', '招若干人']"
百度互联网广告销售,百度西北营销服务中心,民营公司,0.6-1.2万/月,西安-高新技术产业开发区,带薪年假 五险一金 专业培训 节日福利 绩效奖金 法定假 员工旅游 高额提成 结婚礼金 年终大奖,10-14,"['西安-高新技术产业开发区', '无需经验', '大专', '招5人']"
企业福利销售经理/销售代表（急聘，高薪，晋升快）,本来生活,民营公司,1.5-3万/月,上海-徐汇区,,10-14,"['上海-徐汇区', '无需经验', '大专', '招4人']"
电商运营经理,恒睿国际贸易（上海）有限公司,外资（非欧美）,2-2.5万/月,上海-静安区,五险一金 补充医疗保险 员工旅游 绩效奖金,10-14,"['上海-静安区', '5-7年经验', '大专', '招1人']"
流程专家,杭州天谷信息科技有限公司,民营公司,2-3万/月,杭州-西湖区,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权,10-14,"['杭州-西湖区', '3-4年经验', '本科', '招若干人']"
销售小白+底薪5000+带薪培训,厦门房江湖信息科技有限公司,民营公司,0.7-1.2万/月,厦门-海沧区,五险一金 弹性工作 绩效奖金 节日福利 专业培训 带薪年假 就近安排 解决住宿 答辩假期 全勤奖,10-14,"['厦门-海沧区', '无需经验', '大专', '招6人']"
分公司总经理,宜信公司,合资,3-4万/月,上海-浦东新区,补充医疗保险 五险一金 员工旅游 餐饮补贴 出国机会 专业培训,10-14,"['上海-浦东新区', '8-9年经验', '本科', '招1人']"
天猫国际运营经理,杭州壹网壹创科技股份有限公司,上市公司,2.5-3万/月,杭州-江干区,,10-14,"['杭州-江干区', '3-4年经验', '大专', '招1人']"
采购员,深圳捷合创科科技有限公司,民营公司,4.5-6千/月,宜春,带薪年假 包吃住 年终奖金 过节福利 购买社保 法定节假日 专业培训,10-14,"['宜春', '2年经验', '大专', '招1人']"
跨境电商运营,赣州市泰川电子商务有限公司,合资,1-1.5万/月,赣州-南康区,绩效奖金 专业培训 周末双休 节日福利 全勤奖,10-14,"['赣州-南康区', '1年经验', '大专', '招3人']"
亚马逊产品开发,深圳市前海迪燊网络技术有限公司,民营公司,1-1.5万/月,深圳-龙岗区,五险一金 专业培训 每周下午茶 提供中晚饭 每周团建 绩效奖金,10-14,"['深圳-龙岗区', '3-4年经验', '本科', '招1人']"
酒店OTA 运营主管/经理（双休+不加班）,汇智国际旅游发展有限公司,合资,0.8-1.5万/月,广州,带薪年假 五险一金 绩效奖金 专业培训 全勤奖 补充公积金 年终奖金,10-14,"['广州', '3-4年经验', '大专', '招2人']"
电商运营经理,广东星外星文化传播有限公司,民营公司,0.8-1.6万/月,广州-天河区,五险一金 周末双休 带薪年假 年终奖金 绩效奖金 补充医疗保险 补充公积金 弹性工作,10-14,"['广州-天河区', '5-7年经验', '大专', '招1人']"
游戏UI设计师,上海成蹊信息科技有限公司,民营公司,1-1.8万/月,上海-徐汇区,五险一金 绩效奖金 定期体检 员工旅游 年终奖金 法定年休假 生日慰问 节日福利 婚育礼金 免费工作餐,10-14,"['上海-徐汇区', '2年经验', '大专', '招若干人']"
渠道总监（酒店旅游互联网）,无限遨游（武汉）科技有限公司,民营公司,1.5-2万/月,武汉-东湖新技术产业开发区,五险一金 交通补贴 专业培训 绩效奖金 弹性工作 定期体检 员工旅游 年终奖金 通讯补贴,10-14,"['武汉-东湖新技术产业开发区', '5-7年经验', '大专', '招1人']"
售前技术支持工程师,南京宝正见企业管理有限公司,民营公司,0.6-1.2万/月,南京,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 年终奖金 出国机会 通讯补贴,10-14,"['南京', '1年经验', '大专', '招4人']"
运营专员,广州微革网络科技有限公司,民营公司,0.8-1万/月,广州-天河区,五险一金 弹性工作 员工旅游 周末双休 绩效奖金,10-14,"['广州-天河区', '1年经验', '大专', '招2人']"
亚马逊运营专员,广州缤瑟贸易有限公司,民营公司,0.8-1.6万/月,广州-白云区,,10-14,"['广州-白云区', '1年经验', '大专', '招5人']"
网络在线客服 (白天上班，免费住宿),四川盛唐中派信息科技有限公司,民营公司,0.3-1万/月,成都-金牛区,,10-14,"['成都-金牛区', '无需经验', '高中', '招8人']"
网络推广员,武汉欣业达科技有限公司,民营公司,4-6千/月,武汉-洪山区,,10-14,"['武汉-洪山区', '1年经验', '招2人']"
电商运营助理,青岛不言创新科技有限公司,民营公司,4-8千/月,青岛-黄岛区,弹性工作 带薪年假 绩效奖金 节日福利 专业培训 年终奖金 定期体检 出国机会 员工旅游 通讯补贴,10-14,"['青岛-黄岛区', '无需经验', '招20人']"
新媒体全案广告销售,南京壹玖柒玖信息技术有限公司,民营公司,0.8-1万/月,南京-秦淮区,五险一金 专业培训 绩效奖金 节假日福利 生日福利,10-14,"['南京-秦淮区', '1年经验', '大专', '招10人']"
售后文员,广州智造家网络科技有限公司,民营公司,6-8千/月,广州,,10-14,"['广州', '1年经验', '大专', '招若干人']"
亚马逊运营/主管（高薪/双休）,深圳市德富龙科技有限公司,民营公司,0.8-1万/月,深圳-宝安区,,10-14,"['深圳-宝安区', '1年经验', '大专', '招2人']"
电商客服（网络销售）,云南山喜之食品有限公司,民营公司,0.5-1万/月,昆明-官渡区,节日福利 专业培训 带薪年假 绩效奖金 社保 定期团建,10-14,"['昆明-官渡区', '1年经验', '大专', '招3人']"
销售工程师,深圳沃新智创科技有限公司,民营公司,1-1.5万/月,深圳-龙华区,,10-14,"['深圳-龙华区', '2年经验', '大专', '招1人']"
电商售后客服/提供住宿,广州谷创信息科技有限公司,民营公司,4.5-6千/月,深圳-龙岗区,绩效奖金 带薪年假 节日福利 员工旅游 年终奖金 交通补贴 做五休二 五险一金 弹性工作 提供住宿,10-14,"['深圳-龙岗区', '无需经验', '大专', '招10人']"
市场推广专员,中科科界（北京）科技有限公司,国企,1-1.5万/月,北京-西城区,五险一金 补充医疗保险 餐饮补贴 年终奖金 弹性工作 定期体检 免费午餐 交通补贴 专业培训 绩效奖金,10-14,"['北京-西城区', '2年经验', '本科', '招5人']"
电商客服（非销售型）,江苏银汉网络科技有限公司,民营公司,4.5-6千/月,南京-雨花台区,做五休二 节日福利 全勤奖 五险一金 带薪年假 餐饮补贴 加班补贴 员工旅游 绩效奖金 商业保险,10-14,"['南京-雨花台区', '1年经验', '大专', '招若干人']"
高级招商顾问,广东九航贸易有限公司,民营公司,0.8-1万/月,广州-白云区,带薪年假 通讯补贴 全勤奖 绩效奖金 专业培训 员工旅游 年终奖金 五险一金,10-14,"['广州-白云区', '5-7年经验', '招3人']"
ebay运营,深圳市煜升网络科技有限公司,民营公司,0.6-1万/月,深圳-龙华区,五险一金 弹性工作 节日福利 大小周 员工旅游 生日礼品,10-14,"['深圳-龙华区', '3-4年经验', '大专', '招1人']"
电商客服（做一休一）,上海一条网络科技有限公司,民营公司,5-7千/月,上海-徐汇区,五险一金 年终奖金 带薪年假 专业培训 餐饮补贴 员工旅游 节日福利 做一休一 免费班车,10-14,"['上海-徐汇区', '1年经验', '大专', '招7人']"
实习生 销售 师傅一对一带教,贝壳找房（厦门）信息科技有限公司,上市公司,0.6-1.2万/月,厦门,专业培训 绩效奖金 年终奖金 晋升透明 节日福利 团建活动 弹性工作 团队旅游 出国机会,10-14,"['厦门', '无需经验', '大专', '招10人']"
总部直招销售代表8k起师傅带教,太平洋房屋（中国总部）,外资（非欧美）,1.1-1.3万/月,上海-闵行区,五险一金 交通补贴 绩效奖金 补充公积金 专业培训 出国机会 员工旅游 年终奖金 弹性工作 周末双休,10-14,"['上海-闵行区', '无需经验', '大专', '招11人']"
电商运营助理,上海舜捕环保科技有限公司,民营公司,0.6-1.2万/月,上海-松江区,绩效奖金 提供住宿 交通补贴 餐饮补贴 通讯补贴 专业培训 员工旅游 五险一金 年终奖金 定期体检,10-14,"['上海-松江区', '2年经验', '大专', '招2人']"
天猫售后客服,上海五蕴信息科技有限公司,合资,0.7-1万/月,上海-黄浦区,五险一金 通讯补贴 季度奖金 13薪,10-14,"['上海-黄浦区', '1年经验', '招10人']"
亚马逊运营主管（精品+双休+团队）,深圳市星麒祥科技有限公司,民营公司,1.3-1.8万/月,深圳-龙华区,绩效奖金 专业培训 员工旅游 年终奖金 定期体检 法定节假日 晋升空间 入职五险 餐饮补贴 周末双休,10-14,"['深圳-龙华区', '3-4年经验', '本科', '招3人']"
内容运营项目经理（内容制作导向）(J11667),医渡云（北京）技术有限公司,上市公司,2-4万/月,北京-海淀区,下午茶 自助餐饮 弹性工作 公司氛围好,10-14,"['北京-海淀区', '3-4年经验', '本科', '招1人']"
门店运营经理,上海萧雅生物科技股份有限公司,合资,1-1.5万/月,郑州,五险一金 定期体检 交通补贴 年终奖金 员工旅游 员工福利 绩效奖金 专业培训,10-14,"['郑州', '5-7年经验', '大专', '招1人']"
商户拓展（南昌）,北京猎豹移动科技有限公司,上市公司,0.6-1.2万/月,北京-朝阳区,,10-14,"['北京-朝阳区', '1年经验', '大专', '招1人']"
招商总监,广州力扑智能科技有限公司,民营公司,1.5-3万/月,广州-天河区,员工旅游 周末双休 带薪年假 交纳社保,10-14,"['广州-天河区', '5-7年经验', '本科', '招5人']"
海外营销推广,深圳前海跨海侠跨境电子商务有限公司,民营公司,0.8-1.5万/月,深圳-福田区,五险一金 员工旅游 交通补贴 年终奖金 定期体检,10-14,"['深圳-福田区', '1年经验', '本科', '招1人']"
Walmart/沃尔玛运营,深圳市圣通伟业科技有限公司,民营公司,0.8-1万/月,深圳-龙华区,带薪年假 五险一金 全勤奖 节日福利 弹性工作 绩效奖金 年终分红,10-14,"['深圳-龙华区', '1年经验', '大专', '招2人']"
运营助理/专员,广州尼恒科技有限公司,民营公司,0.5-1万/月,广州-白云区,带薪年假 全勤奖 绩效奖金 专业培训 住房补贴 餐饮补贴,10-14,"['广州-白云区', '1年经验', '中技', '招1人']"
海外市场运营,西安龙猫文化传媒有限公司,民营公司,4-8千/月,西安-高新技术产业开发区,五险一金 年终奖金 专业培训 出国机会 绩效奖金 弹性工作,10-14,"['西安-高新技术产业开发区', '1年经验', '本科', '招2人']"
资深大客户经理（贵阳）,广州市玄武无线科技股份有限公司,民营公司,1.2-1.8万/月,贵阳,,10-14,"['贵阳', '5-7年经验', '大专', '招若干人']"
市场经理（新品开发）,丽人丽妆,上市公司,1.5-2万/月,上海-徐汇区,五险一金 员工旅游 年终奖金 绩效奖金 专业培训 定期体检 弹性工作 餐饮补贴,10-14,"['上海-徐汇区', '3-4年经验', '本科', '招若干人']"
实施经理,北京多来点信息技术有限公司广州分公司,民营公司,1.2-2.3万/月,广州-海珠区,周末双休 带薪年假 五险一金 节日福利 员工旅游,10-14,"['广州-海珠区', '5-7年经验', '本科', '招1人']"
在线客服专员,深圳青豆教育科技有限公司,民营公司,6-8千/月,深圳-南山区,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检 带薪年假 绩效奖金 通讯补贴,10-14,"['深圳-南山区', '2年经验', '大专', '招2人']"
数字营销顾问,佛山易歌信息科技有限公司,合资,5-8千/月,佛山-南海区,五险一金 带薪年假 节日福利 绩效奖金 交通补贴 年轻团队 工作氛围好,10-14,"['佛山-南海区', '1年经验', '大专', '招10人']"
电商售后客服/客服专员,上海联新文教用品有限公司,民营公司,5-6千/月,上海-普陀区,加班补贴 工作餐 五险一金 节日福利 全勤奖 绩效奖金 包住宿 包三餐 下午茶 专业培训,10-14,"['上海-普陀区', '无需经验', '招3人']"
销售专员/社群运营/无需经验,广州伊嘉网络科技有限公司,民营公司,0.8-1万/月,广州-番禺区,弹性工作 带薪年假 绩效奖金 全勤奖 节日福利 专业培训 五险一金 产品福利 带薪培训 定期团建,10-14,"['广州-番禺区', '无需经验', '中专', '招4人']"
产品主管,上海净安化工科技有限公司,合资,0.8-1.2万/月,上海,五险一金 员工旅游 专业培训 弹性工作 年终奖金 绩效奖金,10-14,"['上海', '2年经验', '本科', '招1人']"
KA主任,威莱（广州）日用品有限公司,外资（非欧美）,1-1.5万/月,上海-长宁区,交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 五险 节日福利 带薪年假,10-14,"['上海-长宁区', '3-4年经验', '大专', '招1人']"
设计总监,深圳市安室智能有限公司,民营公司,1.5-2.5万/月,深圳-南山区,年终奖金 节日福利 五险一金 绩效奖金 定期体检 周末双休 年底双薪 员工旅游 下午茶,10-14,"['深圳-南山区', '8-9年经验', '本科', '招1人']"
急聘普工 7500月包吃住,深圳市美一电子有限公司,民营公司,7.5-8.5千/月,深圳-龙岗区,五险一金 包吃 包住宿 绩效奖金 全勤奖 加班补贴,10-14,"['深圳-龙岗区', '无需经验', '招200人']"
区域销售经理,长沙连一家网络科技有限公司,创业公司,0.6-1.2万/月,长沙-开福区,,10-14,"['长沙-开福区', '2年经验', '中专', '招8人']"
在线咨询客服保底4000,成都考拉米网络科技有限公司,民营公司,0.8-1万/月,成都-高新区,做五休二 弹性工作 五险一金 绩效奖金 交通补贴 加班补贴 全勤奖 专业培训,10-14,"['成都-高新区', '无需经验', '大专', '招20人']"
