job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
课件开发,湖南盖诺健康管理有限公司,民营公司,6-8千/月,长沙-雨花区,五险 员工旅游 包食宿,10-14,"['长沙-雨花区', '2年经验', '大专', '招1人']"
产品经理,好多车联（深圳）科技有限公司,民营公司,1-1.5万/月,西安-雁塔区,带薪年假 包住宿 节日福利 餐饮补贴 年终奖金 免费体检 学习补贴 五险一金,10-14,"['西安-雁塔区', '3-4年经验', '本科', '招若干人']"
研发技术员,南京君慕士物联网技术研究院有限公司,民营公司,6-8千/月,楚雄,交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,10-14,"['楚雄', '3-4年经验', '本科', '招3人']"
销售业务总助,佛山市贸多多网络技术有限公司,民营公司,0.8-1万/月,佛山-顺德区,员工旅游 专业培训 绩效奖金 五险一金 带薪年假,10-14,"['佛山-顺德区', '1年经验', '大专', '招3人']"
销售顾问,南昌智汇科技有限公司,民营公司,0.8-1万/月,南昌,,10-14,"['南昌', '1年经验', '中专', '招5人']"
亚马逊站长,江苏一乙网络信息科技有限公司,民营公司,0.8-1.5万/月,南京-雨花台区,五险一金 定期体检 餐饮补贴 年终奖金,10-14,"['南京-雨花台区', '3-4年经验', '本科', '招2人']"
区域推广经理,江西中科九峰智慧医疗科技有限公司,合资,1.5-2万/月,南昌,五险一金 餐饮补贴 绩效奖金 弹性工作 14薪 提供住宿 员工旅游,10-14,"['南昌', '5-7年经验', '大专', '招10人']"
大客户经理,快钱支付清算信息有限公司北京分公司,民营公司,2-2.5万/月,上海-浦东新区,五险一金 补充医疗保险 交通补贴 绩效奖金 专业培训 通讯补贴 定期体检 午餐补助,10-14,"['上海-浦东新区', '5-7年经验', '本科', '招1人']"
运营经理,广州绿创信息科技有限公司,国企,0.8-1万/月,广州-越秀区,五险一金 交通补贴 通讯补贴 餐饮补贴 年终奖金 员工旅游 定期体检 补充医疗保险 绩效奖金,10-14,"['广州-越秀区', '3-4年经验', '本科', '招1人']"
销售专员,杭州杉帝科技有限公司,民营公司,0.8-1.5万/月,杭州-余杭区,带薪年假 绩效奖金 周末双休 专业培训,10-14,"['杭州-余杭区', '无需经验', '大专', '招5人']"
高薪高福利电销双休,宁波艺羽电子商务科技有限公司,民营公司,0.5-1万/月,宁波-鄞州区,,10-14,"['宁波-鄞州区', '无需经验', '高中', '招10人']"
亚马逊电商运营（欧美站）,安徽省凿盼电子商务有限公司,民营公司,6-8千/月,合肥-高新区,五险 单双休 节假日福利 带薪年假 年终奖 不定期调薪,10-14,"['合肥-高新区', '1年经验', '大专', '招5人']"
shopee运营/销售,长沙迈联电子商务有限公司,合资,6-8千/月,长沙-岳麓区,五险一金 员工旅游 专业培训 弹性工作,10-14,"['长沙-岳麓区', '2年经验', '大专', '招2人']"
产品经理,武汉元图地理科技有限公司,民营公司,0.6-1.2万/月,武汉-洪山区,五险一金 年终奖金 周末双休 过节福利 带薪年假 专业培训 绩效奖金,10-14,"['武汉-洪山区', '2年经验', '本科', '招2人']"
技术专家,东风日产数据服务有限公司,国企,4-5万/月,广州-花都区,五险一金 餐饮补贴 专业培训 定期体检,10-14,"['广州-花都区', '10年以上经验', '本科', '招1人']"
